"ActualValue","Commandlet","Criticality","PolicyId","ReportDetails","RequirementMet"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.10.1v1","Requirement not met: GuestAccessGrant - SignInFrequency 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.10.2v1","Requirement not met: GuestAccessGrant - ApplicationEnforcedRestrictions - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.10.3v1","Requirement not met: CloudAppSecurity - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.10.4v1","Requirement not met: PersistentBrowser - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.11.1v1","Requirement not met: GuestAccessGrant - ApplicationEnforcedRestrictions - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.11.2v1","Requirement not met: CloudAppSecurity - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.1v1","Requirement not met: GuestAccessGrant - SignInFrequency 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.2v1","Requirement not met: GuestAccessGrant - ApplicationEnforcedRestrictions - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.3v1","Requirement not met: CloudAppSecurity - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.4v1","Requirement not met: PersistentBrowser - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.1v1","Requirement not met: GuestAccessGrant - SignInFrequency 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.2v1","Requirement not met: GuestAccessGrant - ApplicationEnforcedRestrictions - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.3v1","Requirement not met: CloudAppSecurity - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.4v1","Requirement not met: PersistentBrowser - 'IsEnabled' must be set to false","False"
"null","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.14.2v1","Requirement not met: ApplicationEnforcedRestrictions - 'IsEnabled' must be set to false","False"
